2 6 10 14 17 19 32 36 29 39 37
4 6 8 13 13 16 22 22 24 28 28
8 6 10 12 15 18 21 22 27 29 34
16 6 8 12 15 16 21 24 22 21 26
32 8 9 15 14 17 17 21 22 29 31
64 11 16 15 17 24 25 24 32 47 34
128 26 33 45 42 43 46 60 56 55 56
256 95 110 98 135 114 139 147 161 206 115
512 505 477 552 582 602 600 524 816 511 539
